article_id,article_title,year,journal,abstract
1001,Compactification  Geometry and Duality: N=2,2000,,  These are notes based on lectures given at TASI99. We review the geometry ofthe moduli space of N=2 theories in four dimensions from the point of view ofsuperstring compactification. The cases of a type IIA or type IIB stringcompactified on a Calabi-Yau threefold and the heterotic string compactified onK3xT2 are each considered in detail. We pay specific attention to thedifferences between N=2 theories and N>2 theories. The moduli spaces of vectormultiplets and the moduli spaces of hypermultiplets are reviewed. In the caseof hypermultiplets this review is limited by the poor state of our currentunderstanding. Some peculiarities such as ``mixed instantons   and thenon-existence of a universal hypermultiplet are discussed.
1002,Domain Walls and Massive Gauged Supergravity Potentials,2000,Class.Quant.Grav.,  We point out that massive gauged supergravity potentials- for example thosearising due to the massive breathing mode of sphere reductions in M-theory orstring theory- allow for supersymmetric (static) domain wall solutions whichare a hybrid of a Randall-Sundrum domain wall on one side- and a dilatonicdomain wall with a run-away dilaton on the other side. On the anti-de Sitter(AdS) side- these walls have a repulsive gravity with an asymptotic regioncorresponding to the Cauchy horizon- while on the other side the runawaydilaton approaches the weak coupling regime and a non-singular attractivegravity- with the asymptotic region corresponding to the boundary of spacetime.We contrast these results with the situation for gauged supergravity potentialsfor massless scalar modes- whose supersymmetric AdS extrema are genericallymaxima- and there the asymptotic regime transverse to the wall corresponds tothe boundary of the AdS spacetime. We also comment on the possibility that themassive breathing mode may- in the case of fundamental domain-wall sources-stabilize such walls via a Goldberger-Wise mechanism.
1003,Comment on  Metric Fluctuations in Brane Worlds ,2000,,  Recently- Ivanov and Volovich (hep-th/9912242) claimed that the perturbationof $h_{\mu\nu}$ with nonvanishing transverse components $h_{5\mu}$ is notlocalized on the brane because $h_{\mu\nu}$ depends on the fifth coordinate $z$linearly. Consequently- it may indicate that the effective theory is unstable.However- we point out that such linear dependence on $z$ can be {\it gaugedaway}. Hence the solution does not belong to the physical one. Therefore- evenif one includes $h_{5\mu}$- Randall and Sundrum s argument for the localizedgravity on the brane remains correct.
1004,Moving Mirrors and Thermodynamic Paradoxes,2000,Phys.Rev.,  Quantum fields responding to  moving mirrors  have been predicted to giverise to thermodynamic paradoxes. I show that the assumption in such work thatthe mirror can be treated as an external field is invalid: the exoticenergy-transfer effects necessary to the paradoxes are well below the scales atwhich the model is credible. For a first-quantized point-particle mirror- itappears that exotic energy-transfers are lost in the quantum uncertainty in themirror s state. An accurate accounting of these energies will require a modelwhich recognizes the mirror s finite reflectivity- and almost certainly a modelwhich allows for the excitation of internal mirror modes- that is- asecond-quantized model.
1005,Bundles of chiral blocks and boundary conditions in CFT,2000,,  Various aspects of spaces of chiral blocks are discussed. In particular-conjectures about the dimensions of irreducible sub-bundles are reviewed andtheir relation to symmetry breaking conformal boundary conditions is outlined.
1006,Questions in quantum physics: a personal view,2000,,  An assessment of the present status of the theory- some immediate tasks whichare suggested thereby and some questions whose answers may require a longerbreath since they relate to significant changes in the conceptual andmathematical structure of the theory.
1007,Topological Defects in 3-d Euclidean Gravity,2000,,  By making use of the complete decomposition of SO(3) spin connection- thetopological defect in 3-dimensional Euclidean gravity is studied in detail. Thetopological structure of disclination is given as the combination of a monopolestructure and a vortex structure. Furthermore- the Kac-Moody algebra generatedby the monopole and vortex is discussed in three dimensional Chern-Simonstheory.
1008,N=0 Supersymmetry and the Non-Relativistic Monopole,2000,Phys.Lett.,  We study some of the algebraic properties of the non-relativistic monopole.We find that we can construct theories that possess an exotic conservedfermionic charge that squares to the Casimir of the rotation group- yet do notpossess an ordinary supersymmetry. This is in contrast to previous knownexamples with such exotic fermionic charges. We proceed to show that thepresence of the exotic fermionic charge in the non-supersymmetric theory cannonetheless be understood using supersymmetric techniques- providing yetanother example of the usefulness of supersymmetry in understandingnon-supersymmetric theories.
1009,Gluon Pair Production From Space-Time Dependent Chromofield,2000,,  We compute the probabilty for the processes A -> q \bar{q}- gg via vacuumpolarization in the presence of a classical space-time dependent non-abelianfield A by applying the background field method of QCD. The processes weconsider are leading order in gA and are simillar to A -> e^+e^- in QED. Gluonsare treated like a matter field and gauge transformations of the quantumgluonic field are different from those of the classical chromofield. To obtainthe correct physical polarization of gluons we deduct the corresponding ghostcontributions. We find that the expression for the probability of the leadingorder process A -> gg is transverse with respect to the momentum of the field.We observe that the contributions from higher order processes to gluon pairproduction need to be added to the this leading order process. Our resultpresented here is a part of the expression for the total probability for gluonpair production from a space-time dependent chromfield. The result for q
1010,Instantons  Euclidean supersymmetry and Wick rotations,2000,Phys.Lett.,  We discuss the reality properties of the fermionic collective coordinates inEuclidean space in an instanton background and construct hermitean actions forN = 4 and N = 2 supersymmetric Euclidean Yang-Mills theories.
